gamepk,inning,half,battingteamid,runs,hits,errors,leftonbase,cummulative_score,batting_team_score,batting_team_scores,score_difference
778963,3,1,141,1.0,3,0,2,3.0,2,2.0,2.0
778963,4,0,147,0.0,1,0,2,0.0,0,0.0,-3.0
778963,4,1,141,1.0,2,0,1,4.0,3,3.0,3.0
778963,5,0,147,0.0,1,0,1,0.0,0,0.0,-4.0
778963,5,1,141,0.0,0,0,0,4.0,4,4.0,4.0
778963,6,0,147,3.0,3,0,1,3.0,0,0.0,-4.0
778963,6,1,141,0.0,0,0,0,4.0,4,4.0,1.0
778963,7,0,147,0.0,1,0,2,3.0,3,3.0,-1.0
778963,7,1,141,0.0,0,0,0,4.0,4,4.0,1.0
778963,8,0,147,1.0,2,1,1,4.0,3,3.0,-1.0
778963,8,1,141,2.0,1,0,0,6.0,4,4.0,0.0
778963,9,0,147,0.0,2,0,2,4.0,4,4.0,-2.0
778963,9,1,141,,0,0,0,,6,6.0,2.0
778898,1,0,117,0.0,0,0,0,0.0,0,0.0,0.0
778898,1,1,121,1.0,1,0,1,1.0,0,0.0,0.0
778898,2,0,117,0.0,0,1,0,0.0,0,0.0,-1.0
778898,2,1,121,3.0,4,0,2,4.0,1,1.0,1.0
778898,3,0,117,0.0,0,0,0,0.0,0,0.0,-4.0
778898,3,1,121,0.0,1,0,1,4.0,4,4.0,4.0
778898,4,0,117,1.0,1,0,1,1.0,0,0.0,-4.0
778898,4,1,121,0.0,0,0,2,4.0,4,4.0,3.0
778898,5,0,117,0.0,0,0,0,1.0,1,1.0,-3.0
778898,5,1,121,0.0,0,0,0,4.0,4,4.0,3.0
778898,6,0,117,0.0,0,0,0,1.0,1,1.0,-3.0
778898,6,1,121,0.0,1,0,2,4.0,4,4.0,3.0
778898,7,0,117,0.0,1,0,1,1.0,1,1.0,-3.0
778898,7,1,121,0.0,0,0,0,4.0,4,4.0,3.0
778898,8,0,117,0.0,1,0,1,1.0,1,1.0,-3.0
778898,8,1,121,2.0,3,0,0,6.0,4,4.0,3.0
778898,9,0,117,1.0,1,0,0,2.0,1,1.0,-5.0
778898,9,1,121,,0,0,0,,6,6.0,4.0
779087,1,0,138,0.0,0,0,0,0.0,0,0.0,0.0
779087,1,1,146,0.0,2,0,1,0.0,0,0.0,0.0
779087,2,0,138,0.0,0,0,0,0.0,0,0.0,0.0
779087,2,1,146,0.0,0,0,0,0.0,0,0.0,0.0
779087,3,0,138,0.0,0,0,1,0.0,0,0.0,0.0
779087,3,1,146,0.0,0,0,0,0.0,0,0.0,0.0
779087,4,0,138,1.0,1,0,2,1.0,0,0.0,0.0
779087,4,1,146,0.0,0,0,1,0.0,0,0.0,-1.0
779087,5,0,138,0.0,0,0,0,1.0,1,1.0,1.0
779087,5,1,146,0.0,0,0,0,0.0,0,0.0,-1.0
779087,6,0,138,5.0,2,1,2,6.0,1,1.0,1.0
779087,6,1,146,0.0,0,0,2,0.0,0,0.0,-6.0
779087,7,0,138,0.0,0,0,0,6.0,6,6.0,6.0
779087,7,1,146,5.0,2,0,0,5.0,0,0.0,-6.0
779087,8,0,138,0.0,0,0,0,6.0,6,6.0,1.0
779087,8,1,146,2.0,4,0,2,7.0,5,5.0,-1.0
779087,9,0,138,0.0,0,0,0,6.0,6,6.0,-1.0
779087,9,1,146,,0,0,0,,7,7.0,1.0
778840,1,0,114,2.0,2,0,1,2.0,0,0.0,0.0
778840,1,1,113,1.0,1,0,0,1.0,0,0.0,-2.0
778840,2,0,114,0.0,2,0,2,2.0,2,2.0,1.0
778840,2,1,113,0.0,0,0,0,1.0,1,1.0,-1.0
778840,3,0,114,0.0,0,0,1,2.0,2,2.0,1.0
778840,3,1,113,0.0,0,0,0,1.0,1,1.0,-1.0
778840,4,0,114,0.0,0,0,0,2.0,2,2.0,1.0
778840,4,1,113,1.0,1,0,0,2.0,1,1.0,-1.0
778840,5,0,114,0.0,2,0,2,2.0,2,2.0,0.0
778840,5,1,113,0.0,1,0,0,2.0,2,2.0,0.0
778840,6,0,114,0.0,0,2,0,2.0,2,2.0,0.0
778840,6,1,113,4.0,2,0,1,6.0,2,2.0,0.0
778840,7,0,114,0.0,1,0,1,2.0,2,2.0,-4.0
778840,7,1,113,0.0,0,0,0,6.0,6,6.0,4.0
778840,8,0,114,0.0,1,0,0,2.0,2,2.0,-4.0
778840,8,1,113,0.0,0,0,0,6.0,6,6.0,4.0
778840,9,0,114,1.0,1,0,1,3.0,2,2.0,-4.0
778840,9,1,113,,0,0,0,,6,6.0,3.0
778867,1,0,118,0.0,0,0,1,0.0,0,0.0,0.0
778867,1,1,119,2.0,2,1,2,2.0,0,0.0,0.0
778867,2,0,118,5.0,2,0,2,5.0,0,0.0,-2.0
778867,2,1,119,3.0,1,0,1,5.0,2,2.0,-3.0
778867,3,0,118,0.0,0,0,0,5.0,5,5.0,0.0
